▶ skipping venv without pytest: /c/Users/given/hermes-audit/hermes-agent/.venv
▶ running per-file parallel test suite via run_tests_parallel.py
  (TZ=UTC LANG=C.UTF-8 PYTHONHASHSEED=0; clean env)
▶ pre-compiling bytecode cache
▶ launching test runner
Discovered 3152 test files (~31960 tests) under ['tests']; running with -j 32
[  0.0% |     3/~31960 | ✓3 | ✗0] ✓ tests\acp\test_auth.py (3✓, 12.9s)
[  0.0% |     4/~31960 | ✓4 | ✗0] ✓ tests\acp_adapter\test_acp_logging_redaction.py (1✓, 12.9s)
[  0.0% |     7/~31960 | ✓7 | ✗0] ✓ tests\acp_adapter\test_detect_provider_entra.py (3✓, 13.6s)
[  0.0% |    10/~31960 | ✓11 | ✗ 0] ✓ tests\acp\test_ping_suppression.py (4✓ 1s, 13.6s)
[  0.1% |    17/~31960 | ✓18 | ✗ 0] ✓ tests\acp\test_events.py (7✓, 13.7s)
[  0.1% |    22/~31960 | ✓23 | ✗ 0] ✓ tests\acp\test_permissions.py (5✓, 13.8s)
[  0.1% |    26/~31960 | ✓27 | ✗ 0] ✓ tests\acp\test_entry.py (4✓, 13.8s)
[  0.1% |    30/~31960 | ✓31 | ✗ 0] ✓ tests\acp_adapter\test_acp_images.py (4✓, 14.6s)
[  0.1% |    34/~31960 | ✓35 | ✗ 0] ✓ tests\acp_adapter\test_acp_mcp_discovery.py (4✓, 14.7s)
[  0.2% |    57/~31960 | ✓58 | ✗ 0] ✓ tests\acp\test_tools.py (23✓, 15.0s)
[  0.2% |    62/~31960 | ✓63 | ✗ 0] ✓ tests\acp\test_approval_isolation.py (5✓, 15.1s)
[  0.2% |    65/~31960 | ✓66 | ✗ 0] ✓ tests\agent\lsp\test_powershell_server.py (3✓, 16.5s)
[  0.2% |    68/~31960 | ✓69 | ✗ 0] ✓ tests\agent\lsp\test_lifecycle.py (3✓, 16.5s)
[  0.2% |    71/~31960 | ✓72 | ✗ 0] ✓ tests\acp_adapter\test_acp_commands.py (3✓, 16.6s)
[  0.2% |    76/~31960 | ✓77 | ✗ 0] ✓ tests\agent\lsp\test_reporter.py (5✓, 17.1s)
[  0.3% |    82/~31960 | ✓83 | ✗ 0] ✓ tests\agent\lsp\test_protocol.py (6✓, 17.5s)
[  0.3% |    84/~31960 | ✓85 | ✗ 0] ✓ tests\agent\lsp\test_client_e2e.py (2✓, 17.6s)
[  0.3% |    87/~31960 | ✓88 | ✗ 0] ✓ tests\agent\lsp\test_broken_set.py (3✓, 17.6s)
[  0.3% |    93/~31960 | ✓94 | ✗ 0] ✓ tests\agent\lsp\test_delta_key.py (6✓, 17.6s)
[  0.3% |   100/~31960 | ✓101 | ✗  0] ✓ tests\agent\lsp\test_client_docs_bounds.py (7✓, 18.1s)
[  0.3% |   106/~31960 | ✓107 | ✗  0] ✓ tests\agent\lsp\test_eventlog.py (6✓, 18.2s)
[  0.4% |   117/~31960 | ✓118 | ✗  0] ✓ tests\acp\test_named_provider_catalogs.py (11✓, 19.1s)
[  0.4% |   121/~31960 | ✓122 | ✗  0] ✓ tests\agent\lsp\test_service.py (4✓, 19.6s)
[  0.4% |   123/~31960 | ✓124 | ✗  0] ✓ tests\agent\lsp\test_backend_gate.py (2✓, 20.2s)
[  0.4% |   127/~31960 | ✓128 | ✗  0] ✓ tests\acp\test_edit_approval.py (4✓, 20.9s)
[  0.4% |   131/~31960 | ✓132 | ✗  0] ✓ tests\acp\test_session_provenance.py (4✓, 20.9s)
[  0.4% |   136/~31960 | ✓137 | ✗  0] ✓ tests\agent\lsp\test_install_and_lint_fixes.py (5✓, 21.4s)
[  0.4% |   138/~31960 | ✓139 | ✗  0] ✓ tests\agent\lsp\test_stale_diagnostics.py (2✓, 10.9s)
[  0.4% |   142/~31960 | ✓143 | ✗  0] ✓ tests\agent\test_account_usage.py (4✓, 10.4s)
[  0.5% |   146/~31960 | ✓147 | ✗  0] ✓ tests\agent\lsp\test_workspace.py (4✓, 10.5s)
[  0.5% |   154/~31960 | ✓155 | ✗  0] ✓ tests\acp\test_session_db_private_access.py (8✓, 24.2s)
[  0.5% |   163/~31960 | ✓157 | ✗  0] ✓ tests\agent\test_anthropic_keychain.py (2✓ 7s, 11.0s)
[  0.5% |   171/~31960 | ✓165 | ✗  0] ✓ tests\agent\test_anthropic_billing_guidance.py (8✓, 11.2s)
[  0.5% |   174/~31960 | ✓168 | ✗  0] ✓ tests\agent\test_anthropic_kwargs_sanitize.py (3✓, 11.2s)
[  0.6% |   177/~31960 | ✓171 | ✗  0] ✓ tests\agent\test_anthropic_oauth_pkce.py (3✓, 11.6s)
[  0.6% |   184/~31960 | ✓178 | ✗  0] ✓ tests\acp\test_mcp_e2e.py (7✓, 26.8s)
[  0.6% |   187/~31960 | ✓181 | ✗  0] ✓ tests\agent\test_anthropic_kimi_signed_thinking_replay.py (3✓, 12.2s)
[  0.6% |   191/~31960 | ✓185 | ✗  0] ✓ tests\agent\test_anthropic_mcp_prefix_strip.py (4✓, 11.8s)
[  0.6% |   196/~31960 | ✓190 | ✗  0] ✓ tests\agent\test_anthropic_request_blank_block_guard.py (5✓, 11.6s)
[  0.6% |   200/~31960 | ✓194 | ✗  0] ✓ tests\agent\test_anthropic_output_field_leak.py (4✓, 11.7s)
[  0.6% |   202/~31960 | ✓196 | ✗  0] ✓ tests\agent\test_async_utils.py (2✓, 10.9s)
[  0.6% |   206/~31960 | ✓200 | ✗  0] ✓ tests\agent\test_anthropic_thinking_block_order.py (4✓, 13.0s)
[  0.7% |   212/~31960 | ✓206 | ✗  0] ✓ tests\agent\test_anthropic_token_scope_isolation.py (6✓, 13.5s)
[  0.7% |   219/~31960 | ✓213 | ✗  0] ✓ tests\agent\test_anthropic_structured_output.py (7✓, 13.6s)
[  0.7% |   222/~31960 | ✓216 | ✗  0] ✓ tests\agent\test_auxiliary_anthropic_pool_fallback_regression.py (3✓, 10.9s)
